INFO  - 2014-02-09 23:20:27.435; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-02-09 23:20:27.458; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/gaudinat/Solr/solr-4.6.1/example/contexts at interval 0
INFO  - 2014-02-09 23:20:27.464; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/gaudinat/Solr/solr-4.6.1/example/contexts/solr-jetty-context.xml
INFO  - 2014-02-09 23:20:27.504; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/gaudinat/Solr/solr-4.6.1/example/webapps/solr.war!/ to /Users/gaudinat/Solr/solr-4.6.1/example/solr-webapp/webapp
INFO  - 2014-02-09 23:20:38.822; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-02-09 23:20:38.887; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-02-09 23:20:38.905; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-02-09 23:20:38.905; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-02-09 23:20:38.906; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-02-09 23:20:38.996; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/gaudinat/Solr/solr-4.6.1/example/solr/solr.xml
INFO  - 2014-02-09 23:20:39.130; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-02-09 23:20:39.143; org.apache.solr.core.CoreContainer; New CoreContainer 949835667
INFO  - 2014-02-09 23:20:39.143; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-02-09 23:20:39.155; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-02-09 23:20:39.155; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-02-09 23:20:39.155; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-02-09 23:20:39.157; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-02-09 23:20:39.157; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-02-09 23:20:39.158; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-02-09 23:20:39.158; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-02-09 23:20:39.158; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-02-09 23:20:39.158; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-02-09 23:20:39.351; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-02-09 23:20:39.352; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-02-09 23:20:39.437; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/gaudinat/Solr/solr-4.6.1/example/solr
INFO  - 2014-02-09 23:20:39.453; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/gaudinat/Solr/solr-4.6.1/example/solr/collection1/
INFO  - 2014-02-09 23:20:39.454; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-02-09 23:20:39.456; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /Users/gaudinat/Solr/solr-4.6.1/example/solr/collection1
INFO  - 2014-02-09 23:20:39.456; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/gaudinat/Solr/solr-4.6.1/example/solr/collection1/'
INFO  - 2014-02-09 23:20:39.531; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-02-09 23:20:39.534; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/gaudinat/Solr/solr-4.6.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-02-09 23:20:39.534; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/gaudinat/Solr/solr-4.6.1/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-02-09 23:20:39.535; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/gaudinat/Solr/solr-4.6.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-02-09 23:20:39.535; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/gaudinat/Solr/solr-4.6.1/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-02-09 23:20:39.535; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/gaudinat/Solr/solr-4.6.1/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
